species_id	common_name	scientific_name	species_num_cd
ANCH	Antillean Crested Hummingbird	Orthorhyncus cristatus	
ANEU	Antillean Euphonia	Euphonia musica	606.10000000000002
ANHI	Anhinga	Anhinga anhinga	118
ANHU	Anna's Hummingbird	Calypte anna	431
ANIA	Anianiau	Hemignathus parvus	784
ANMA	Antillean Mango	Anthracothorax dominicus	906.70000000000005
ANMU	Ancient Murrelet	Synthliboramphus antiquus	21
ANNI	Antillean Nighthawk	Chordeiles gundlachii	420.10000000000002
ANPI	Antillean Piculet	Nesoctites micromegas	
ANPS	Antillean Palm-Swift	Tachornis phoenicobia	
ANSI	Antillean Siskin	Carduelis dominicensis	
APAP	Apapane	Himatione sanguinea	802
APFA	Aplomado Falcon	Falco femoralis	359
APKI	American Pygmy Kingfisher	Chloroceryle aenea	
ARLO	Arctic Loon	Gavia arctica	9
ARRW	Arrowhead Warbler	Dendroica pharetra	
ARTA	Azure-rumped Tanager	Tangara cabanisi	
ARTE	Arctic Tern	Sterna paradisaea	71
ARWA	Arctic Warbler	Phylloscopus borealis	747
ARWO	Arizona Woodpecker	Picoides arizonae	397.5
ASSP	Ashy Storm-Petrel	Oceanodroma homochroa	108
ATBR	Atlantic Brant	Branta b. bernicla	173
ATBT	Ashy-throated Bush-Tanager	Chlorospingus canigularis	
ATFL	Ash-throated Flycatcher	Myiarchus cinerascens	454
ATGR	Atitlan Grebe	Podilymbus gigas	
ATHU	Amethyst-throated Hummingbird	Lampornis amethystinus	
ATPU	Atlantic Puffin	Fratercula arctica	13
ATSP	American Tree Sparrow	Spizella arborea	559
ATSW	Ashy-tailed Swift	Chaetura andrei	
ATTW	American Three-toed Woodpecker	Picoides dorsalis	401
AUOR	Audubon's Oriole	Icterus graduacauda	503
AUSH	Audubon's Shearwater	Puffinus lherminieri	92
AUWA	Audubon's Warbler	Dendroica c. auduboni	656
AWPE	American White Pelican	Pelecanus erythrorhynchos	125
AZCH	Azure-crowned Hummingbird	Amazilia cyanocephala	
AZGA	Azure Gallinule	Porphyrio flavirostris	
AZTH	Aztec Thrush	Ridgwayia pinicola	763.10000000000002
BAAN	Barred Antshrike	Thamnophilus doliatus	
BABE	Barred Becard	Pachyramphus versicolor	
BABU	Barbados Bullfinch	Loxigilla barbadensis	
BABW	Band-backed Wren	Campylorhynchus zonatus	
BACA	Bare-crowned Antbird	Gymnocichla nudiceps	
BACS	Bachman's Sparrow	Aimophila aestivalis	575
BADO	Barred Owl	Strix varia	368
BAEA	Bald Eagle	Haliaeetus leucocephalus	352
BAFA	Bat Falcon	Falco rufigularis	
BAFF	Barred Forest-Falcon	Micrastur ruficollis	
BAGO	Barrow's Goldeneye	Bucephala islandica	152
BAGT	Blue-and-gold Tanager	Bangsia arcaei	
BAHA	Barred Hawk	Leucopternis princeps	
BAHS	Bahama Swallow	Tachycineta cyaneoviridis	615.10000000000002
BAIS	Baird's Sparrow	Ammodramus bairdii	545
BAMO	Bahama Mockingbird	Mimus gundlachii	703.10000000000002
BANA	Bananaquit	Coereba flaveola	635
BANO	Barn Owl	Tyto alba	365
BANS	Bank Swallow	Riparia riparia	616
BANW	Banded Wren	Thryothorus pleurostictus	
BAOR	Baltimore Oriole	Icterus galbula	507
BAPA	Barred Parakeet	Bolborhynchus lineola	
BAPU	Barred Puffbird	Nystalus radiatus	
BAQU	Banded Quail	Philortyx fasciatus	
BARG	Barnacle Goose	Branta leucopsis	175
BARS	Barn Swallow	Hirundo rustica	613
BARW	Barbuda Warbler	Dendroica subita	
BASA	Baird's Sandpiper	Calidris bairdii	241
BASO	Balsas Screech-Owl	Megascops seductus	
BATE	Baikal Teal	Anas formosa	139.09999999999999
BATR	Baird's Trogon	Trogon bairdii	
BAWA	Bachman's Warbler	Vermivora bachmanii	640
BAWB	Black-and-white Becard	Pachyramphus albogriseus	
BAWH	Black-and-white Hawk-Eagle	Spizastur melanoleucus	
BAWM	Blue-and-white Mockingbird	Melanotis hypoleucus	
BAWO	Bahama Woodstar	Calliphlox evelynae	437.10000000000002
BAWS	Blue-and-white Swallow	Pygochelidon cyanoleuca	
BAWW	Black-and-white Warbler	Mniotilta varia	636
BAYE	Bahama Yellowthroat	Geothlypis rostrata	914.5
BAYM	Blue-and-yellow Macaw	Ara ararauna	
BAYS	Black-and-yellow Silky-flycatcher	Phainoptila melanoxantha	
BAYT	Black-and-yellow Tanager	Chrysothlypis chrysomelas	
BAYW	Bay Wren	Thryothorus nigricapillus	
BBAL	Black-browed Albatross	Thalassarche melanophris	82.200000000000003
BBCU	Black-billed Cuckoo	Coccyzus erythropthalmus	388
BBEH	Buff-bellied Hummingbird	Amazilia yucatanensis	
BBEW	Black-bellied Wren	Thryothorus fasciatoventris	
BBFL	Buff-breasted Flycatcher	Empidonax fulvifrons	470
BBHE	Boat-billed Heron	Cochlearius cochlearius	
BBIH	Broad-billed Hummingbird	Cynanthus latirostris	
BBIS	Broad-billed Sandpiper	Limicola falcinellus	
BBLH	Broad-billed Hummingbird	Cynanthus latirostris	441
BBMA	Black-billed Magpie	Pica hudsonia	475
BBMO	Broad-billed Motmot	Electron platyrhynchum	
BBNT	Black-billed Nightingale-Thrush	Catharus gracilirostris	
BBNW	Black-banded Woodcreeper	Dendrocolaptes picumnus	
BBOH	Bullock's x Baltimore Oriole Hybrid	Icterus bullockii  x galb.	507.80000000000001
BBOR	Black-backed Oriole	Icterus abeillei	
BBPA	Black-billed Parrot	Amazona agilis	
BBPL	Black-bellied Plover	Pluvialis squatarola	270
BBPU	Black-breasted Puffbird	Notharchus pectoralis	
BBRC	Bay-breasted Cuckoo	Coccyzus rufigularis	
BBRW	Buff-breasted Wren	Thryothorus leucotis	
BBSA	Buff-breasted Sandpiper	Tryngites subruficollis	262
BBSC	Brown-billed Scythebill	Campylorhamphus pusillus	
BBSO	Brown-backed Solitaire	Myadestes occidentalis	
BBSP	Black-bellied Storm-Petrel	Fregetta tropica	
BBTO	Broad-billed Tody	Todus subulatus	
BBWA	Bay-breasted Warbler	Dendroica castanea	660
BBWD	Black-bellied Whistling-Duck	Dendrocygna autumnalis	177
BBWO	Black-backed Woodpecker	Picoides arcticus	400
BBWQ	Black-breasted Wood-Quail	Odontophorus leucolaemus	
BCAF	Black-capped Flycatcher	Empidonax atriceps	
BCAH	Blue-capped Hummingbird	Eupherusa cyanophrys	
BCAT	Black-cheeked Ant-Tanager	Habia atrimaxillaris	
BCAV	Brown-capped Vireo	Vireo leucophrys	
BCCH	Black-capped Chickadee	Poecile atricapillus	735
BCCO	Black-crested Coquette	Lophornis helenae	
BCDO	Black-capped Donacobius	Donacobius atricapilla	
BCFL	Brown-crested Flycatcher	Myiarchus tyrannulus	453
BCGN	Black-capped Gnatcatcher	Polioptila nigriceps	753.10000000000002
BCHA	Black-collared Hawk	Busarellus nigricollis	
BCHH	Blue-chested Hummingbird	Amazilia amabilis	
BCHJ	Black-chested Jay	Cyanocorax affinis	
BCHS	Black-chested Sparrow	Aimophila humeralis	
BCHU	Black-chinned Hummingbird	Archilochus alexandri	429
BCMA	Brown-chested Martin	Progne tapera	
BCMO	Blue-crowned Motmot	Momotus momota	
BCNA	Black-crowned Antpitta	Pittasoma michleri	
BCNH	Black-crowned Night-Heron	Nycticorax nycticorax	202
BCNI	Buff-collared Nightjar	Caprimulgus ridgwayi	416.10000000000002
BCOF	Bran-colored Flycatcher	Myiophobus fasciatus	
BCOR	Black-cowled Oriole	Icterus prosthemelas	504.19999999999999
BCPE	Black-capped Petrel	Pterodroma hasitata	98
BCRC	Blue-crowned Chlorophonia	Chlorophonia occipitalis	
BCRF	Brown-capped Rosy-Finch	Leucosticte australis	526
BCRJ	Bushy-crested Jay	Cyanocorax melanocyaneus	
BCRM	Blue-crowned Manakin	Pipra coronata	
BCRT	Black-crowned Tityra	Tityra inquisitor	
BCSI	Black-capped Siskin	Carduelis atriceps	
BCSP	Black-chinned Sparrow	Spizella atrogularis	565
BCSW	Black-capped Swallow	Notiochelidon pileata	
BCTI	Black-crested Titmouse	Baeolophus atricristatus	732
BCTY	Brown-capped Tyrannulet	Ornithion brunneicapillus	
BCVI	Black-capped Vireo	Vireo atricapilla	630
BCWA	Black-cheeked Warbler	Basileuterus melanogenys	
BCWO	Black-cheeked Woodpecker	Melanerpes pucherani	
BCWP	Buffy-crowned Wood-Partridge	Dendrortyx leucophrys	
BEAH	Beautiful Hummingbird	Calothorax pulcher	
BEEH	Bee Hummingbird	Mellisuga helenae	
BEFL	Belted Flycatcher	Xenotriccus callizonus	
BEGO	Bean Goose	Anser fabalis	171.09999999999999
BEGU	Belcher's Gull	Larus belcheri	
BEHU	Berylline Hummingbird	Amazilia beryllina	438.10000000000002
BEKI	Belted Kingfisher	Ceryle alcyon	390
BEPE	Bermuda Petrel	Pterodroma cahow	98.099999999999994
BERO	Bare-eyed Robin	Turdus nudigenis	
BESO	Bearded Screech-Owl	Megascops barbarus	
BESW	Bewick's Swan	Cygnus c. bewickii	180.09999999999999
BETH	Bendire's Thrasher	Toxostoma bendirei	708
BETR	Beautiful Treerunner	Margarornis bellulus	
BEVI	Bell's Vireo	Vireo bellii	633
BEWP	Bearded Wood-Partridge	Dendrortyx barbatus	
BEWQ	Black-eared Wood-Quail	Odontophorus melanotis	
BEWR	Bewick's Wren	Thryomanes bewickii	719
BEYE	Belding's Yellowthroat	Geothlypis beldingi	
BFAG	Black-faced Grosbeak	Caryothraustes poliogaster	
BFAL	Black-footed Albatross	Phoebastria nigripes	81
BFAN	Black-faced Antthrush	Formicarius analis	
BFBO	Blue-footed Booby	Sula nebouxii	114.09999999999999
BFFG	Buff-fronted Foliage-gleaner	Philydor rufum	
BFGR	Black-faced Grassquit	Tiaris bicolor	603
BFPA	Blue-fronted Parrotlet	Touit dilectissimus	
BFQD	Buff-fronted Quail-Dove	Geotrygon costaricensis	
BFSO	Black-faced Solitaire	Myadestes melanops	
BGGN	Blue-gray Gnatcatcher	Polioptila caerulea	751
BGNO	Blue-gray Noddy	Procelsterna cerulea	79.200000000000003
BGRA	Blue-black Grassquit	Volatinia jacarina	
BGRO	Blue-black Grosbeak	Cyanocompsa cyanoides	
BGSE	Blue Grouse	Dendragapus obscurus	297
BGTA	Blue-gray Tanager	Thraupis episcopus	
BHCO	Brown-headed Cowbird	Molothrus ater	495
BHEA	Black-headed Antthrush	Formicarius nigricapillus	
BHEP	Blue-headed Parrot	Pionus menstruus	
BHGR	Black-headed Grosbeak	Pheucticus melanocephalus	596
BHGU	Black-headed Gull	Larus ridibundus	55.100000000000001
BHHU	Blue-headed Hummingbird	Cyanophaia bicolor	
BHNT	Black-headed Nightingale-Thrush	Catharus mexicanus	
BHNU	Brown-headed Nuthatch	Sitta pusilla	729
BHOA	Black-hooded Antshrike	Thamnophilus bridgesi	
BHOP	Brown-hooded Parrot	Pionopsitta haematotis	
BHQD	Blue-headed Quail-Dove	Starnoenas cyanocephala	
BHSA	Black-headed Saltator	Saltator atriceps	
BHSI	Black-headed Siskin	Carduelis notata	
BHTA	Bay-headed Tanager	Tangara gyrola	
BHTF	Black-headed Tody-Flycatcher	Todirostrum nigriceps	
BHTR	Black-headed Trogon	Trogon melanocephalus	
BHVI	Blue-headed Vireo	Vireo solitarius	629
BIAN	Bicolored Antbird	Gymnopithys leucaspis	
BIHA	Bicolored Hawk	Accipiter bicolor	
BIOO	Bishop's Oo	Moho bishopi	622.29999999999995
BITH	Bicknell's Thrush	Catharus bicknelli	757.10000000000002
BLAG	Black Guan	Chamaepetes unicolor	
BLAK	Black Kite	Milvus migrans	
BLAN	Black Antshrike	Thamnophilus nigriceps	
BLBF	Black-billed Flycatcher	Aphanotriccus audax	
BLBH	Black-bellied Hummingbird	Eupherusa nigriventris	
BLBR	Black Brant	Branta b. nigricans	174
BLBU	Blue Bunting	Cyanocompsa parellina	597.10000000000002
BLBW	Blackburnian Warbler	Dendroica fusca	662
BLCA	Black Catbird	Melanoptila glabrirostris	
BLCO	Blue Cotinga	Cotinga nattererii	
BLDA	Blue Dacnis	Dacnis cayana	
BLFR	Black Francolin	Francolinus francolinus	
BLGD	Blue Ground-Dove	Claravis pretiosa	
BLGR	Blue Grosbeak	Passerina caerulea	597
BLGU	Black Guillemot	Cepphus grylle	27
BLHE	Black Hawk-Eagle	Spizaetus tyrannus	
BLJA	Blue Jay	Cyanocitta cristata	477
BLKI	Black-legged Kittiwake	Rissa tridactyla	40
BLMA	Black Mamo	Drepanis funerea	
BLMO	Blue Mockingbird	Melanotis caerulescens	
BLNO	Black Noddy	Anous minutus	79.099999999999994
BLOR	Black Oropendola	Psarocolius guatimozinus	
BLOW	Bare-legged Owl	Gymnoglaux lawrencii	
BLOY	Black Oystercatcher	Haematopus bachmani	287
BLPH	Black Phoebe	Sayornis nigricans	458
BLPW	Blackpoll Warbler	Dendroica striata	661
BLRA	Black Rail	Laterallus jamaicensis	216
BLRF	Black Rosy-Finch	Leucosticte atrata	525
BLRO	Black Robin	Turdus infuscatus	
BLSC	Black Scoter	Melanitta nigra	163
BLSE	Blue Seedeater	Amaurospiza concolor	
BLSK	Black Skimmer	Rynchops niger	80
BLSP	Black Storm-Petrel	Oceanodroma melania	107
BLSW	Black Swift	Cypseloides niger	422
BLTE	Black Tern	Chlidonias niger	77
BLTH	Blue-tailed Hummingbird	Amazilia cyanura	
BLTU	Black Turnstone	Arenaria melanocephala	284
BLUE	Bluethroat	Luscinia svecica	764
BLUH	Blue-throated Hummingbird	Lampornis clemenciae	427
BLVU	Black Vulture	Coragyps atratus	326
BLWO	Black-and-white Owl	Ciccaba nigrolineata	
BMVI	Blue Mountain Vireo	Vireo osburni	
BNIB	Buff-necked Ibis	Theristicus caudatus	
BNST	Black-necked Stilt	Himantopus mexicanus	226
BNUM	Bare-necked Umbrellabird	Cephalopterus glabricollis	
BOBF	Boat-billed Flycatcher	Megarynchus pitangua	
BOBO	Bobolink	Dolichonyx oryzivorus	494
BOCH	Boreal Chickadee	Poecile hudsonica	740
BOGU	Bonaparte's Gull	Larus philadelphia	60
BOOW	Boreal Owl	Aegolius funereus	371
BOPE	Bonin Petrel	Pterodroma hypoleuca	99.099999999999994
BOPT	Bronze-olive Pygmy-Tyrant	Pseudotriccus pelzelni	
BOSP	Botteri's Sparrow	Aimophila botterii	576
BOWA	Bohemian Waxwing	Bombycilla garrulus	618
BOWR	Boucard's Wren	Campylorhynchus jocosus	
BPLT	Black-crowned Palm-Tanager	Phaenicophilus palmarum	
BPYE	Black-polled Yellowthroat	Geothlypis speciosa	
BPYT	Black-capped Pygmy-Tyrant	Myiornis atricapillus	
BRAC	Brandt's Cormorant	Phalacrocorax penicillatus	122
BRAM	Brambling	Fringilla montifringilla	514.10000000000002
BRAN	Brant	Branta bernicla	
BRAT	Bright-rumped Attila	Attila spadiceus	
BRBL	Brewer's Blackbird	Euphagus cyanocephalus	510
BRBO	Brown Booby	Sula leucogaster	115
BRCR	Brown Creeper	Certhia americana	726
BREM	Brace's Emerald	Chlorostilbon bracei	
BRFL	Brownish Flycatcher	Cnipodectes subbrunneus	
BRHE	Bronzy Hermit	Glaucis aeneus	
BRIN	Brant Intergrade	Branta b. bern. x nigri.	
BRIS	Bridled Sparrow	Aimophila mystacalis	
BRJA	Brown Jay	Cyanocorax morio	483.19999999999999
BRMA	Bronze Mannikin	Lonchura cucullata	810.10000000000002
BRNO	Brown Noddy	Anous stolidus	79
BROC	Bronzed Cowbird	Molothrus aeneus	496
BRPE	Brown Pelican	Pelecanus occidentalis	126
BRQD	Bridled Quail-Dove	Geotrygon mystacea	322.19999999999999
BRSH	Brown Shrike	Lanius cristatus	621.10000000000002
BRSP	Brewer's Sparrow	Spizella breweri	562
BRSW	Band-rumped Swift	Chaetura spinicaudus	
BRTE	Bridled Tern	Onychoprion anaethetus	76
BRTH	Brown Thrasher	Toxostoma rufum	705
BRTI	Bridled Titmouse	Baeolophus wollweberi	734
BRTR	Brown Trembler	Cinclocerthia ruficauda	
BRUW	Black-rumped Waxbill	Estrilda troglodytes	
BRVE	Brown Violet-ear	Colibri delphinae	
BRWA	Brewster's Warbler	Vermivora pinus x chrysopt.	641.20000000000005
BSSO	Bare-shanked Screech-Owl	Megascops clarkii	
BSSP	Belding's Savannah Sparrow	Passerculus s. beldingi	543
BSTP	Band-rumped Storm-Petrel	Oceanodroma castro	106.2
BSTS	Black-striped Sparrow	Arremonops conirostris	
BSWO	Black-striped Woodcreeper	Xiphorhynchus lachrymosus	
BTAH	Broad-tailed Hummingbird	Selasphorus platycercus	
BTAT	Black-tailed Trogon	Trogon melanurus	
BTBA	Band-tailed Barbthroat	Threnetes ruckeri	
BTBO	Black-throated Bobwhite	Colinus nigrogularis	
BTBW	Black-throated Blue Warbler	Dendroica caerulescens	654
BTCO	Black-tipped Cotinga	Carpodectes hopkei	
BTCU	Bristle-thighed Curlew	Numenius tahitiensis	268
BTFG	Buff-throated Foliage-gleaner	Automolus ochrolaemus	
BTFL	Black-tailed Flycatcher	Myiobius atricaudus	
BTGD	Black-tailed Godwit	Limosa limosa	252
BTGG	Black-thighed Grosbeak	Pheucticus tibialis	
BTGN	Black-tailed Gnatcatcher	Polioptila melanura	752
BTGO	Bar-tailed Godwit	Limosa lapponica	250
BTGR	Boat-tailed Grackle	Quiscalus major	513
BTGU	Black-tailed Gull	Larus crassirostris	54.200000000000003
BTHH	Blue-throated Hummingbird	Lampornis clemenciae	
BTHT	Black-throated Trogon	Trogon rufus	
BTHU	Broad-tailed Hummingbird	Selasphorus platycercus	432
BTJA	Black-throated Jay	Cyanolyca pumilo	
BTMA	Black-throated Mango	Anthracothorax nigricollis	
BTMJ	Black-throated Magpie-Jay	Calocitta colliei	
BTMO	Blue-throated Motmot	Aspatha gularis	
BTNW	Black-throated Green Warbler	Dendroica virens	667
BTPA	Brown-throated Parakeet	Aratinga pertinax	
BTPI	Band-tailed Pigeon	Patagioenas fasciata	312
BTPL	Bronze-tailed Plumeleteer	Chalybura urochrysia	
BTRG	Blue-throated Goldentail	Hylocharis eliciae	
BTSA	Buff-throated Saltator	Saltator maximus	
BTSP	Black-throated Sparrow	Amphispiza bilineata	573
BTST	Black-throated Shrike-Tanager	Lanio aurantius	
BTTH	Bare-throated Tiger-Heron	Tigrisoma mexicanum	
BTWR	Black-throated Wren	Thryothorus atrogularis	
BTYW	Black-throated Gray Warbler	Dendroica nigrescens	665
BUDG	Budgerigar	Melopsittacus undulatus	
BUFF	Bufflehead	Bucephala albeola	153
BUFH	Buff-bellied Hummingbird	Amazilia yucatanensis	439
BUHU	Bumblebee Hummingbird	Atthis heloisa	435
BULS	Buller's Shearwater	Puffinus bulleri	96.200000000000003
BUOR	Bullock's Oriole	Icterus bullockii	508
BUOW	Burrowing Owl	Athene cunicularia	378
BUPE	Bulwer's Petrel	Bulweria bulwerii	101
BURW	Buff-rumped Warbler	Phaeothlypis fulvicauda	
BUSH	Bushtit	Psaltriparus minimus	743
BUTU	Buffy Tuftedcheek	Pseudocolaptes lawrencii	
BVOR	Black-vented Oriole	Icterus wagleri	504.10000000000002
BVSH	Black-vented Shearwater	Puffinus opisthomelas	93
BWHA	Broad-winged Hawk	Buteo platypterus	343
BWOR	Bar-winged Oriole	Icterus maculialatus	
BWPE	Black-winged Petrel	Pterodroma nigripennis	
BWST	Black-winged Stilt	Himantopus himantopus	
BWTE	Blue-winged Teal	Anas discors	140
BWVI	Black-whiskered Vireo	Vireo altiloquus	623
BWWA	Blue-winged Warbler	Vermivora pinus	641
CAAU	Cassin's Auklet	Ptychoramphus aleuticus	16
CACG	Cackling Goose	Branta hutchinsii	172.19999999999999
CACH	Carolina Chickadee	Poecile carolinensis	736
CACO	California Condor	Gymnogyps californianus	324
CACW	Cactus Wren	Campylorhynchus brunneicapillus	713
CADO	Caribbean Dove	Leptotila jamaicensis	
CAEG	Cattle Egret	Bubulcus ibis	200.09999999999999
CAEL	Caribbean Elaenia	Elaenia martinica	472.10000000000002
CAEM	Canivet's Emerald	Chlorostilbon canivetii	
CAFI	Cassin's Finch	Carpodacus cassinii	518
CAGN	California Gnatcatcher	Polioptila californica	753
CAGO	Canada Goose	Branta canadensis	172
CAGR	Carib Grackle	Quiscalus lugubris	
CAGU	California Gull	Larus californicus	53
CAHE	Capped Heron	Pilherodius pileatus	
CAHU	Calliope Hummingbird	Stellula calliope	436
CAKI	Cassin's Kingbird	Tyrannus vociferans	448
CALT	California Towhee	Pipilo crissalis	591.10000000000002
CAMA	Caribbean Martin	Progne dominicensis	611.29999999999995
CANT	Canyon Towhee	Pipilo fuscus	591
CANV	Canvasback	Aythya valisineria	147
CANW	Canyon Wren	Catherpes mexicanus	717
CAPA	Carolina Parakeet	Conuropsis carolinensis	381.39999999999998
CAPO	Central American Pygmy-Owl	Glaucidium griseiceps	
CAQU	California Quail	Callipepla californica	294
CARC	Caribbean Coot	Fulica caribaea	221.09999999999999
CARW	Carolina Wren	Thryothorus ludovicianus	718
CASP	Cassin's Sparrow	Aimophila cassinii	578
CASW	Cave Swallow	Petrochelidon fulva	612.10000000000002
CATE	Caspian Tern	Hydroprogne caspia	64
CATH	California Thrasher	Toxostoma redivivum	710
CATY	Cattle Tyrant	Machetornis rixosa	
CAVI	Cassin's Vireo	Vireo cassinii	629.20000000000005
CAWA	Canada Warbler	Wilsonia canadensis	686
CBAN	Chestnut-backed Antbird	Myrmeciza exsul	
CBCC	Carolina X Black-c. Chickadee Hybrid	Poecile caroli. x atrica.	
CBCH	Chestnut-backed Chickadee	Poecile rufescens	741
CBCU	Chestnut-bellied Cuckoo	Coccyzus pluvialis	
CBFL	Cinnamon-bellied Flowerpiercer	Diglossa baritula	
CBSA	Chestnut-bellied Sandgrouse	Pterocles exustus	
CBTA	Crimson-backed Tanager	Ramphocelus dimidiatus	
CBTH	Curve-billed Thrasher	Toxostoma curvirostre	707
CBWO	Crimson-bellied Woodpecker	Campephilus haematogaster	
CCBF	Chestnut-capped Brush-Finch	Buarremon brunneinucha	
CCGR	Crimson-collared Grosbeak	Rhodothraupis celaeno	
CCLO	Chestnut-collared Longspur	Calcarius ornatus	538
CCOW	Chestnut-colored Woodpecker	Celeus castaneus	
CCRO	Clay-colored Robin	Turdus grayi	762.10000000000002
CCRW	Crimson-crested Woodpecker	Campephilus melanoleucos	
CCSP	Clay-colored Sparrow	Spizella pallida	561
CCSW	Chestnut-collared Swift	Streptoprocne rutila	
CCTA	Crimson-collared Tanager	Ramphocelus sanguinolentus	
CCWA	Crescent-chested Warbler	Parula superciliosa	
CEDW	Cedar Waxwing	Bombycilla cedrorum	619
CERW	Cerulean Warbler	Dendroica cerulea	658
CFMA	Chestnut-fronted Macaw	Ara severus	
CFPA	Crimson-fronted Parakeet	Aratinga finschi	
CGWO	Cuban Green Woodpecker	Xiphidiopicus percussus	
CHAS	Chapman's Swift	Chaetura chapmani	
CHEG	Chinese Egret	Egretta eulophotes	
CHEM	Coppery-headed Emerald	Elvira cupreiceps	
CHET	Cherrie's Tanager	Ramphocelus costaricensis	
CHHU	Charming Hummingbird	Amazilia decora	
CHMU	Chestnut Munia	Lonchura atricapilla	
CHOR	Chestnut-headed Oropendola	Psarocolius wagleri	
CHOT	Choco Tapaculo	Scytalopus chocoensis	
CHPH	Chinese Pond-Heron	Ardeola bacchus	
CHQD	Chiriqui Quail-Dove	Geotrygon chiriquensis	
CHRA	Chihuahuan Raven	Corvus cryptoleucus	487
CHRE	Common/Hoary Redpoll	Carduelis flamm./hornemanni	
CHSH	Christmas Shearwater	Puffinus nativitatis	96.299999999999997
CHSP	Chipping Sparrow	Spizella passerina	560
CHSW	Chimney Swift	Chaetura pelagica	423
CHTI	Choco Tinamou	Crypturellus kerriae	
CHUK	Chukar	Alectoris chukar	288.19999999999999
CIHU	Cinnamon Hummingbird	Amazilia rutila	
CIMB	Cinnamon Becard	Pachyramphus cinnamomeus	
CIRB	Cinereous Becard	Pachyramphus rufus	
CITE	Cinnamon Teal	Anas cyanoptera	141
CITR	Citreoline Trogon	Trogon citreolus	
CIWA	Citrine Wagtail	Motacilla citreola	
CIWO	Cinnamon Woodpecker	Celeus loricatus	
CLGR	Clark's Grebe	Aechmophorus clarkii	1.1000000000000001
CLNU	Clark's Nutcracker	Nucifraga columbiana	491
CLRA	Clapper Rail	Rallus longirostris	211
CLSW	Cliff Swallow	Petrochelidon pyrrhonota	612
CLWR	Clarion Wren	Troglodytes tanneri	
CMTO	Chestnut-mandibled Toucan	Ramphastos swainsonii	
CMWA	Cape May Warbler	Dendroica tigrina	650
COAR	Collared Aracari	Pteroglossus torquatus	
COBH	Common Black-Hawk	Buteogallus anthracinus	
COBT	Common Bush-Tanager	Chlorospingus ophthalmicus	
COBU	Common Bushtit	Psaltriparus minimus	
COCA	Common Canary	Serinus canaria	533.10000000000002
COCC	Cocos Cuckoo	Coccyzus ferrugineus	
COCF	Cocos Flycatcher	Nesotriccus ridgwayi	
COCH	Common Chaffinch	Fringilla coelebs	514.29999999999995
COCT	Cocoa Thrush	Turdus fumigatus	
COCU	Common Cuckoo	Cuculus canorus	388.19999999999999
CODU	Comb Duck	Sarkidiornis melanotos	
COEI	Common Eider	Somateria mollissima	159
COEM	Cozumel Emerald	Chlorostilbon forficatus	
COFF	Collared Forest-Falcon	Micrastur semitorquatus	
COFI	Cocos Finch	Pinaroloxias inornata	
COFL	Cordilleran Flycatcher	Empidonax occidentalis	464
COGD	Common Ground-Dove	Columbina passerina	320
COGO	Common Goldeneye	Bucephala clangula	151
COGR	Common Grackle	Quiscalus quiscula	511
COHA	Cooper's Hawk	Accipiter cooperii	333
COHE	Cocoi Heron	Ardea cocoi	
COHM	Common House-Martin	Delichon urbicum	615.20000000000005
